,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Cluster,PCA1,PCA2
172,Bengkulu,1997,382123.0,113915.0,1167.0,84.0,25.84,Tinggi,-1.594155620514776,0.057386377577286554
173,Bengkulu,1998,375533.0,111158.0,4114.0,85.34,26.4,Tinggi,-2.0030654679516857,-0.7886500641177114
174,Bengkulu,1999,381577.0,114788.0,3084.0,84.72,25.81,Tinggi,-1.9185514990462977,-0.6925475013525824
175,Bengkulu,2000,362979.0,108751.0,3254.0,84.73,24.22,Tinggi,-2.2714578559874252,-1.6077486381767607
176,Bengkulu,2001,376973.0,105212.0,3010.0,70.15,26.8,Rendah,-1.2048379229311175,1.6468803198472135
177,Bengkulu,2002,379818.0,109519.0,3076.0,67.98,28.5,Rendah,-0.8003853937793366,2.8093125239259993
178,Bengkulu,2003,413375.0,110550.0,3030.0,70.3,29.5,Rendah,-0.6706924167790719,3.080048520548239
179,Bengkulu,2004,414741.0,110929.0,3277.0,84.28,29.7,Rendah,-1.1940710784739275,1.4109589236697766
180,Bengkulu,2005,441276.0,116818.0,3375.2,84.7,25.7,Tinggi,-1.9431656279854044,-0.863201227207085
181,Bengkulu,2006,378377.0,100991.0,2313.8,83.3,26.1,Tinggi,-1.7346235297601094,-0.09018177185352019
182,Bengkulu,2007,470469.0,123853.0,3150.0,84.2,26.4,Tinggi,-1.7214442841885815,-0.3581097603423945
183,Bengkulu,2008,484900.0,127506.0,3396.0,84.2,26.3,Tinggi,-1.759091031268698,-0.5018756807497285
184,Bengkulu,2009,510160.0,132975.0,3850.0,84.1,26.5,Tinggi,-1.7571425695706113,-0.5441597160288882
185,Bengkulu,2010,516869.0,133629.0,3822.0,84.0,26.8,Tinggi,-1.6870826020186147,-0.36124705950123787
186,Bengkulu,2011,502552.0,127934.0,2465.7,82.52,26.35,Tinggi,-1.5326705409675032,0.038000194658382065
187,Bengkulu,2012,581910.0,144448.0,2545.0,82.0,26.9,Tinggi,-1.328902883731157,0.3417216875016938
188,Bengkulu,2013,622832.0,147680.0,3980.9,83.93,26.7,Tinggi,-1.626362985313369,-0.49672082936955314
189,Bengkulu,2014,593194.0,147572.0,3323.0,83.7,26.9,Tinggi,-1.4965260901987314,-0.13160962463920736
190,Bengkulu,2015,578654.0,128833.0,2668.9,83.2,27.0,Tinggi,-1.4214139377602608,0.22353033758343832
191,Bengkulu,2016,629224.0,83449.0,3350.1,83.38,26.77,Tinggi,-1.678798652394185,-0.12426645811786782
192,Bengkulu,2017,714017.0,82429.0,3949.8,84.2,26.52,Tinggi,-1.8030821601819427,-0.5797896316719189
193,Bengkulu,2018,288810.52,65891.16,3649.9,83.79,26.64,Tinggi,-2.0096063201566614,-0.2545477150903192
194,Bengkulu,2019,296472.07,64406.86,1786.2,83.26,26.56,Tinggi,-1.718876096591658,0.39343877784428133
195,Bengkulu,2020,296925.16,64137.28,4144.0,80.18,25.84,Tinggi,-2.100397647075641,-0.41955909112905954
196,Lampung,1993,1646900.0,433078.0,2306.7,84.82,26.41,Tinggi,-0.04463302641795348,-0.6780550287815064
197,Lampung,1994,1615751.0,425940.0,2034.2,77.51,25.73,Sedang,0.10554504099390985,-0.05760904221742814
198,Lampung,1995,1943709.0,514363.0,3039.4,82.81,26.43,Sedang,0.32755796015484934,-0.8080432780471748
199,Lampung,1996,1971740.0,515192.0,1934.9,82.61,26.27,Sedang,0.4928011002708137,-0.5059162912123989
200,Lampung,1997,1753656.0,454087.0,1253.3,78.46,26.68,Sedang,0.5282413455095637,0.5523297385953357
201,Lampung,1998,1975700.0,521575.0,2584.9,84.07,26.95,Sedang,0.4866946365701899,-0.5378474281902212
202,Lampung,1999,1801422.0,476899.0,2364.7,83.46,26.24,Sedang,0.18102316151331138,-0.6983903142219422
203,Lampung,2000,1946406.0,496879.0,1488.5,82.86,28.2,Sedang,0.8463420339376141,0.6873344501216513
204,Lampung,2001,1992726.0,501119.0,2013.1,77.83,26.71,Sedang,0.7139196850566943,0.29446120662847125
205,Lampung,2002,1951109.0,475461.0,2143.5,75.84,27.5,Sedang,0.8186063282183763,0.9539510364998992
206,Lampung,2003,1966293.0,472635.0,1682.2,68.71,29.67,Rendah,1.5646455669220367,3.154669065361172
207,Lampung,2004,2091996.0,495519.0,2042.9,81.47,29.66,Rendah,1.166490661731759,1.4332315723745777
208,Lampung,2005,2124144.0,496538.0,1612.8,79.6,26.59,Sedang,0.7479331226041387,0.1242183456719746
209,Lampung,2006,2129914.0,494102.0,560.3,74.6,26.18,Sedang,1.0163477839407837,0.8621711845345114
210,Lampung,2007,2308404.0,524955.0,1941.4,75.9,27.6,Sedang,1.21355469757309,0.9461150276583647
211,Lampung,2008,2341075.0,506547.0,1940.1,79.0,26.4,Sedang,0.8373558864007737,-0.07389855299685587
212,Lampung,2009,2673844.0,570417.0,1789.0,79.1,26.7,Sedang,1.2882890658439032,-0.002022332440505365
213,Lampung,2010,2807676.0,590608.0,2710.0,82.3,26.7,Sedang,1.1618526720110904,-0.7476083359219391
214,Lampung,2011,2940795.0,606973.0,1568.0,77.8,26.8,Sedang,1.6481161074398079,0.19282655539503507
215,Lampung,2012,3101455.0,641876.0,1685.0,79.2,26.8,Sedang,1.7705832970686215,-0.0827532621116809
216,Lampung,2013,3207002.0,638090.0,2456.7,81.0,26.7,Sedang,1.6150674703286956,-0.6354368731892263
217,Lampung,2014,3320064.0,648731.0,1682.5,79.9,25.8,Sedang,1.7015852038849204,-0.7661899179350659
218,Lampung,2015,3641895.0,707266.0,1628.1,78.9,27.1,Sedang,2.3448836104419253,-0.0416683607342394
219,Lampung,2016,3831923.0,390799.0,2317.6,79.4,26.45,Sedang,1.2874008479395107,-0.4519009920171286
220,Lampung,2017,4090654.0,396559.0,1825.1,77.04,26.36,Sedang,1.5988628981087032,-0.11167610657863533
221,Lampung,2018,2488641.91,511940.93,1385.8,76.05,25.5,Sedang,0.9640413588081109,-0.05757091799637733
222,Lampung,2019,2164089.33,464103.42,1706.4,78.03,27.23,Sedang,0.8411556934881754,0.651317823142662
223,Lampung,2020,2604913.29,545149.05,2211.3,75.8,24.58,Sedang,0.8369765813000997,-0.8616505355145231
224,Aceh,2021,1762958.5,,,,,,,
225,Aceh,2022,1767339.375,,,,,,,
226,Aceh,2023,1782258.625,,,,,,,
227,Aceh,2024,1761877.75,,,,,,,
228,Aceh,2025,1762323.875,,,,,,,
229,Sumatera Utara,2021,1984878.625,,,,,,,
230,Sumatera Utara,2022,1956474.625,,,,,,,
231,Sumatera Utara,2023,1928421.25,,,,,,,
232,Sumatera Utara,2024,1892315.0,,,,,,,
233,Sumatera Utara,2025,1871106.25,,,,,,,
234,Sumatera Barat,2021,1564888.625,,,,,,,
235,Sumatera Barat,2022,1579792.25,,,,,,,
236,Sumatera Barat,2023,1599858.375,,,,,,,
237,Sumatera Barat,2024,1633757.625,,,,,,,
238,Sumatera Barat,2025,1648398.75,,,,,,,
239,Riau,2021,1220283.25,,,,,,,
240,Riau,2022,1274755.625,,,,,,,
241,Riau,2023,1348388.625,,,,,,,
242,Riau,2024,1445787.375,,,,,,,
243,Riau,2025,1489869.625,,,,,,,
244,Jambi,2021,1228726.5,,,,,,,
245,Jambi,2022,1282030.0,,,,,,,
246,Jambi,2023,1354764.625,,,,,,,
247,Jambi,2024,1450164.75,,,,,,,
248,Jambi,2025,1493509.0,,,,,,,
249,Sumatera Selatan,2021,2532079.0,,,,,,,
250,Sumatera Selatan,2022,2390869.5,,,,,,,
251,Sumatera Selatan,2023,2342501.75,,,,,,,
252,Sumatera Selatan,2024,2242628.75,,,,,,,
253,Sumatera Selatan,2025,2165758.75,,,,,,,
254,Bengkulu,2021,1223580.5,,,,,,,
255,Bengkulu,2022,1278102.25,,,,,,,
256,Bengkulu,2023,1350531.375,,,,,,,
257,Bengkulu,2024,1447532.75,,,,,,,
258,Bengkulu,2025,1491333.25,,,,,,,
259,Lampung,2021,2226348.5,,,,,,,
260,Lampung,2022,2163197.25,,,,,,,
261,Lampung,2023,2180595.0,,,,,,,
262,Lampung,2024,2060421.625,,,,,,,
263,Lampung,2025,2020394.25,,,,,,,
